NumPolys = 505

QuadrangleId = 0
11630 471.5 50.167 31.8
11732 543 50.167 31.8

QuadrangleId = 368
n_id   x   y   z
11732 543 50.167 31.8
11630 471.5 50.167 31.8
8734 471.5 16 31.8
8776 543 16 31.8

QuadrangleId = 369
n_id   x   y   z
8776 543 16 31.8
8734 471.5 16 31.8
4124 471.5 -6.50004 31.8
4229 543 -6.50004 31.8

QuadrangleId = 370
n_id   x   y   z
31083 543 73.5 24
30945 471.5 73.5 24
30943 471.5 50.167 24
31081 543 50.167 24

QuadrangleId = 371
n_id   x   y   z
31081 543 50.167 24
30943 471.5 50.167 24
30450 471.5 16 24
30493 543 16 24

QuadrangleId = 372
n_id   x   y   z
30493 543 16 24
30450 471.5 16 24
8331 471.5 -6.50004 24
8444 543 -6.50004 24

QuadrangleId = 373
n_id   x   y   z
11632 471.5 73.5 31.8
11542 400 73.5 31.8
11540 400 50.167 31.8
11630 471.5 50.167 31.8

QuadrangleId = 374
n_id   x   y   z
11630 471.5 50.167 31.8
11540 400 50.167 31.8
8698 400 16 31.8
8734 471.5 16 31.8

QuadrangleId = 375
n_id   x   y   z
8734 471.5 16 31.8
8698 400 16 31.8
4022 400 -6.50003 31.8
4124 471.5 -6.50004 31.8

QuadrangleId = 376
n_id   x   y   z
30945 471.5 73.5 24
30855 400 73.5 24
30853 400 50.167 24
30943 471.5 50.167 24

QuadrangleId = 377
n_id   x   y   z
30943 471.5 50.167 24
30853 400 50.167 24
30414 400 16 24
30450 471.5 16 24

QuadrangleId = 378
n_id   x   y   z
30450 471.5 16 24
30414 400 16 24
8201 400 -6.50003 24
8331 471.5 -6.50004 24

QuadrangleId = 379
n_id   x   y   z
11542 400 73.5 31.8
11440 328.5 73.5 31.8
11438 328.5 50.167 31.8
